Tested Model,Body Type,Year Of Publication,Kerb Weight,VIN From Which Rating Applies,Class,Frontal Offset Deformable Barrier,Whiplash Rear Impact,AEB City,Lateral Impact,18 months old child,36 months old child,VRU Impact Protection,Crash Test Performance,Safety Features,CRS Installation Check,Speed Assistance,Electronic Stability Control,Seatbelt Reminder,Lane Support,AEB Inter-Urban,Head Impact,Pelvis Impact,Leg Impact,rating,Frontal Full Width,Frontal Impact,Lateral Impact.1,Crash Test Performance based on 6 & 10 year old children,AEB Pedestrian,Safety Pack Name,VRU Impact Mitigation,AEB Cyclist,Rear Impact,Frontal Impact.1,Rescue and Extrication,Occupant Status Monitoring,AEB Car-to-Car,Rescue and Extrication.1,Crash Test Performance based on 6 & 10 year old children.1,Safety Features.1,CRS Installation Check.1,Pedestrian & Cyclist Head,Pelvis,Femur,Knee & Tibia
"Mercedes-Benz G350d, LHD",- 5 door SUV,2019,2451kg,- all G-Class,Large SUV,6.4,1.5,4.0,16.0,,,,,9.0,12.0,2.7,,2.5,1.8,2.5,15.1,5.9,6.0,5,6.6,11.8,8,19.8,5.4,,10.4,5.0,,,,,,,,,,,,,
"SEAT Tarraco 1.5 TSI R4, LHD",- Large SUV,2019,1524kg,- all Tarracos,Large Off-Road 4x4,7.7,1.6,4.0,16.0,,,,,7.0,10.7,1.3,,3.0,3.5,2.6,14.9,6.0,6.0,5,7.8,15.9,8,23.9,5.6,,11.1,5.5,,,,,,,,,,,,,
"Honda CR-V 2.0 Hybrid, LHD",- 5 door SUV,2019,1612kg,- all CR-Vs,Large SUV,7.7,1.4,4.0,15.1,,,,,7.0,12.0,2.5,,2.5,2.3,2.7,16.8,3.0,6.0,5,7.4,13.7,8,21.7,5.4,,7.8,2.4,,,,,,,,,,,,,
"Citroen C5 Aircross 1,5l Hdi Live, LHD",- 5 door SUV,2019,1495kg,- all C5 Aircross,Small SUV,6.3,1.7,3.3,15.0,,,,,7.0,12.0,2.5,,2.5,3.5,1.3,13.7,6.0,6.0,4,7,15.6,8,23.6,2.2,,2.2,,,,,,,,,,,,,,
"Citroen C5 Aircross 1,5l Hdi Live",- 5 door SUV,2019,1495kg,- C5 Aircross with optional safety pack,Small SUV,6.3,1.7,4.0,15.0,,,,,7.0,12.0,2.5,,2.5,3.5,2.3,13.7,6.0,6.0,5,7,15.6,8,23.6,2.8,Safety+ Pack,6.9,4.1,,,,,,,,,,,,,
"Range Rover Evoque R Dynamic 'S', 2.0 diesel, RHD",- 5 door SUV,2019,1956kg,- all Evoques incl. PHEV (from 2021),Small SUV,7.4,1.5,4.0,15.6,,,,,7.0,12.0,1.3,,2.5,3.0,2.7,19.2,3.7,6.0,5,7.4,15.7,8,23.7,4.1,,6.0,1.9,,,,,,,,,,,,,
"Audi e-tron 55 quattro, LHD",- 5 door SUV,2019,2565kg,- all e-trons/Q8 e-trons,Large SUV,7.4,1.6,3.8,14.5,,,,,7.0,11.3,1.3,,3.0,2.8,3,15.2,3.5,6.0,5,7.6,15.3,8,23.3,4.6,,9.7,5.1,,,,,,,,,,,,,
"Lexus UX 250h, LHD",- 5 door SUV,2019,1580kg,- all UX,Small Off-Road 4x4,7.2,1.8,4.0,16.0,,,,,7.0,12.0,2.4,,3.0,2.3,2.4,17.1,5.0,6.0,5,7.7,15.1,8,23.1,6.0,,11.3,5.3,,,,,,,,,,,,,
"Mazda 3 2.0 petrol, LHD",- 5 door hatchback,2019,1346kg,- all Mazda 3s,Small Family Car,7.7,1.8,4.0,16.0,,,,,7.0,12.0,2.4,,2.5,2.0,2.6,18.6,6.0,6.0,5,8,16,8,24.0,4.9,,8.6,3.7,,,,,,,,,,,,,
"Renault Clio Zen 1.0 TCe 100, LHD",- 5 door hatchback,2019,1110kg,- all Clios,City and Supermini,7.8,1.5,4.0,15.5,,,,,8.0,12.0,2.5,,3.0,2.0,2.4,15.1,3.4,5.1,5,7.7,15.7,8,23.7,5.6,,11.2,5.7,,,,,,,,,,,,,
"Toyota Corolla Hatchback 1.8, LHD",- 5 door hatchback,2019,1400kg,- all Corollas,Small Family Car,7,1.6,4.0,16.0,,,,,6.0,12.0,2.4,,3.0,2.3,2.4,18.1,6.0,6.0,5,7.6,15.6,8,23.6,6.0,,11.3,5.3,,,,,,,,,,,,,
"Toyota RAV4 Hybrid AWD, LHD",- 5 door SUV,2019,1730kg,- all RAV4s,Small SUV,7.4,1.7,4.0,15.0,,,,,7.0,12.0,2.4,,3.0,2.3,2.4,17.6,6.0,6.0,5,7.5,15.8,8,23.8,6.0,,11.3,5.3,,,,,,,,,,,,,
"VW T-Cross 1.0 petrol 'Life', LHD",- Small SUV,2019,1204kg,- all VW T-Cross,Small MPV,7.3,1.8,4.0,16.0,,,,,8.0,12.0,1.3,,3.0,3.5,2.7,16.7,4.6,6.0,5,7.8,14.4,8,22.4,5.6,,11.6,6.0,,,,,,,,,,,,,
"Mercedes-Benz GLE 350d 4MATIC - AMG Line, LHD",- 5 door SUV,2019,2235kg,- WDC1671211A067398,Large SUV,7.3,1.8,3.2,14.9,,,,,9.0,12.0,3.0,,2.5,2.0,2.8,18.1,2.6,6.0,5,7.7,15.2,8,23.2,5.1,,11.1,6.0,,,,,,,,,,,,,
"Mercedes-Benz B 180  - Progressive Line, LHD",- 5 door MPV,2019,1405kg,- WDD2470122J053058,Small MPV,7.7,1.6,4.0,15.9,,,,,9.0,12.0,2.9,,2.5,2.0,2.4,15.1,5.0,6.0,5,7.5,15.5,8,23.5,5.6,,11.6,6.0,,,,,,,,,,,,,
"Kia Ceed 1.4T-GDI 'EX', LHD",- 5 door hatchback,2019,1240kg,- all Kia Ceeds,Small Family Car,6.8,1.4,4.0,14.0,,,,,7.0,12.0,1.3,,2.8,3.3,1.6,14.2,5.0,6.0,4,7.6,14.9,8,22.9,,,0.0,,,,,,,,,,,,,,
"Kia Ceed 1.4T-GDI 'EX', LHD",- 5 door hatchback,2019,1240kg,- all Kia Ceeds with optional safety pack,Small Family Car,6.8,1.4,4.0,14.0,,,,,7.0,12.0,1.3,,2.8,3.3,2.3,14.2,5.0,6.0,5,7.6,14.9,8,22.9,4.5,Advanced Driving Assistance Pack,7.5,3.0,,,,,,,,,,,,,
"Tesla Model 3 Long Range RWD, LHD",- 4 door saloon,2019,1760kg,- all Model 3,Large Family Car,8,1.7,4.0,15.3,,,,,7.0,12.0,2.8,,3.0,4.0,2.5,12.1,6.0,6.0,5,7.7,15.3,8,23.3,5.6,,11.6,6.0,,,,,,,,,,,,,
"DS 3 Crossback, 1.2 Puretech 100, LHD",- 5 door SUV,2019,1199kg,"- all DS 3 Crossbacks, including E-TENSE variant",Small SUV,7.7,1.7,0.0,16.0,,,,,8.0,12.0,2.6,,2.5,3.3,0,14.1,6.0,6.0,4,7.7,14.4,8,22.4,,,0.0,,,,,,,,,,,,,,
"DS 3 Crossback, 1.2 Puretech 100, LHD",- 5 door SUV,2019,1199kg,"- all DS 3 Crossbacks with optional safety pack, including E-TENSE variant",Small SUV,7.7,1.7,3.4,16.0,,,,,8.0,12.0,2.6,,2.5,3.3,1.7,14.1,6.0,6.0,5,7.7,14.4,8,22.4,4.8,Active Safety Brake,4.8,,,,,,,,,,,,,,
"Škoda Scala 1.0 TSI ""Ambition"", LHD",- 5 door hatchback,2019,1138kg,- all Scalas,Small Family Car,7.6,1.6,4.0,16.0,,,,,7.0,12.0,1.3,,2.5,3.5,2.7,16.4,5.6,6.0,5,7.9,15.9,8,23.9,5.1,,11.1,6.0,,,,,,,,,,,,,
Audi A1 sportback,- 5 door hatchback,2019,1105kg,- all A1s,City and Supermini,7.7,1.6,4.0,15.5,,,,,7.0,11.3,1.3,,3.0,3.5,2.7,14.1,4.1,6.0,5,7.4,15.8,8,23.8,4.9,,10.9,6.0,,,,,,,,,,,,,
"BMW Z4 sDrive 30i, LHD",- Roadster sports,2019,1495kg,- all Z4s,Roadster sports,7.8,1.7,4.0,16.0,,,,,7.0,12.0,2.5,,3.0,1.8,2.8,22.4,6.0,6.0,5,7.7,,,,4.3,,9.7,5.3,,,,,,,,,,,,,
"Ford Focus 1.0 'Trend', LHD",- 5 door hatchback,2019,1312kg,- WF0MXXGCHMKT13569,Small Family Car,7.7,1.6,4.0,15.9,,,,,7.0,12.0,2.5,,2.5,2.3,2.6,15.9,5.8,6.0,5,7.5,16,8,24.0,5.1,,7.1,1.9,,,,,,,,,,,,,
"Mercedes-Benz CLA 180, AMG Line, LHD",- 4 door saloon,2019,1395kg,- all CLAs,Small Family Car,7.4,1.7,4.0,15.5,,,,,9.0,12.0,3.0,,2.5,2.0,2.4,20.3,6.0,6.0,5,8,16,7.8,23.8,5.8,,11.8,6.0,,,,,,,,,,,,,
Mercedes-EQ EQC 400 4MATIC - AMG Line,- 5 door SUV,2019,2495kg,- all EQCs,Small SUV,7.8,1.7,4.0,15.5,,,,,9.0,12.0,3.0,,2.5,2.0,2.4,17.4,1.6,5.9,5,7.6,15.1,8,23.1,5.6,,11.4,5.8,,,,,,,,,,,,,
"Škoda Kamiq 1.0 petrol 'Ambition', LHD",- 5 door hatchback,2019,1156kg,- all Kamiqs,Small Family Car,7.2,1.6,4.0,16.0,,,,,7.0,12.0,1.3,,2.5,3.5,2.7,18.1,3.2,6.0,5,7.9,14.9,8,22.9,5.1,,11.1,6.0,,,,,,,,,,,,,
"SsangYong Korando 1.6 diesel, LHD",- 5 door SUV,2019,1728kg,- all Korandos including e-Motion,Small Family Car,6.9,1.4,4.0,15.1,,,,,7.0,12.0,1.6,,2.5,3.3,2.4,17.1,2.9,6.0,5,6.4,14.8,8,22.8,4.4,,7.0,2.7,,,,,,,,,,,,,
"BMW 118i, LHD",- 5 door hatchback,2019,1480kg,- all 1 series,Small Family Car,7.3,1.5,0.0,16.0,,,,,7.0,12.0,2.5,,2.5,1.8,2.7,17.3,2.9,5.6,5,7,16,8,24.0,5.5,,10.7,5.2,,,,,,,,,,,,,
"Audi A6 40 TDI Sportline 4x2, LHD",- 4 door saloon,2018,1682kg,- all A7s including PHEV,Executive Car,7.3,1.6,3.9,15.2,,,,,7.0,12.0,1.3,,3.0,2.8,2.9,19.0,3.6,6.0,5,7.5,14.9,8,22.9,5.4,,10.3,4.9,,,,,,,,,,,,,
"BMW 320d, LHD",- 4 door saloon,2019,1530kg,- see 'Rating Validity',Large Family Car,7.9,1.6,4.0,16.0,,,,,7.0,12.0,2.5,,3.0,1.8,2.7,22.3,3.3,6.0,5,7.6,15.8,8,23.8,5.3,,10.5,5.1,,,,,,,,,,,,,
"Jeep Cherokee 2.2 diesel ESS 'Limited', LHD",- 5 door SUV,2019,1906kg,- all 2.2 diesel Jeep Cherokees,Small SUV,7.3,1.2,0.0,14.9,,,,,4.0,12.0,1.3,,2.5,3.3,2.1,16.2,2.3,6.0,4,7.3,14.3,8,22.3,2.6,,2.6,,,,,,,,,,,,,,
"Peugeot 208 1.2L Puretech 75, LHD",- 5 door hatchback,2019,1053kg,- all 208s,City and Supermini,7.5,1.2,3.4,15.2,,,,,7.0,11.5,2.5,,2.5,2.3,2,13.0,4.2,6.0,4,7.4,16,8,24.0,3.7,,3.7,,,,,,,,,,,,,,
"Audi Q7 50 TDI quattro S line, LHD",- 5 door SUV,2019,2165kg,- all Q7s,Large SUV,6.7,1.7,4.0,15.5,,,,,7.0,11.5,1.7,,2.5,2.8,2.5,17.2,1.2,6.0,5,7.3,16,8,24.0,4.8,,9.9,5.0,,,,,,,,,,,,,
"Ford Explorer Plug-in Hybrid, LHD",- 5 door SUV,2019,2518kg,- all Ford Explorers,Large SUV,6.2,1.6,3.7,14.2,,,,,8.0,10.2,2.7,,2.5,2.5,2.3,13.7,2.8,5.5,5,7.6,16,8,24.0,4.8,,7.4,2.6,,,,,,,,,,,,,
"MAZDA CX-30 2.0 petrol, LHD",- 5 door SUV,2019,1420kg,- all CX-30s,Small SUV,7.8,1.8,4.0,16.0,,,,,7.0,12.0,3.0,,2.5,2.0,2.6,18.7,6.0,6.0,5,8,15.2,8,23.2,3.7,,8.0,4.3,,,,,,,,,,,,,
"Mercedes-Benz GLB 200  - AMG-Line, LHD",- 5 door SUV,2019,1555kg,- W1N2476131W015023,Small SUV,7.4,1.6,4.0,14.9,,,,,9.0,12.0,2.9,,2.5,2.0,2.3,19.8,0.3,6.0,5,7.2,14.5,7.9,22.4,5.6,,11.4,5.9,,,,,,,,,,,,,
"Opel Corsa 1.2 'Edition', LHD",- 5 door hatchback,2019,1055kg,- all Corsas,City and Supermini,7.7,1.1,0.0,15.5,,,,,7.0,11.5,2.5,,2.5,2.3,1.7,16.4,6.0,6.0,4,7.6,16,8,24.0,3.7,,3.7,,,,,,,,,,,,,,
"Ford Kuga 2.0 diesel 4x4 automatic, LHD",- 5 door SUV,2019,1769kg,- all Kugas,Small SUV,6.3,1.6,4.0,16.0,,,,,7.0,11.8,1.3,,2.5,3.5,2.3,17.7,5.2,5.8,5,7.5,16,7.8,23.8,5.6,,11.0,5.3,,,,,,,,,,,,,
"Ford Mondeo 2.0 diesel 'Titanium' Estate, LHD",- 5 door estate,2019,1852kg,- WF0FXXWPCHKJ37018,Large Family Car,7.8,1.6,3.8,16.0,,,,,7.0,12.0,2.9,,2.5,2.3,2,17.9,0.0,6.0,5,7.7,16,8,24.0,4.8,,10.0,5.2,,,,,,,,,,,,,
"Jeep Renegade 1.0 'LIMITED', LHD",- 5 DOOR SUV,2019,1484kg,- all Renegades,Small Off-Road 4x4,7.5,1.6,0.0,15.2,,,,,6.0,11.8,2.8,,2.5,2.3,0,16.1,4.6,6.0,3,6.9,15.7,8,23.7,,,0.0,,,,,,,,,,,,,,
"Peugeot 2008 Allure 1.2 Puretech 130, LHD",- 5 door SUV,2019,1216kg,- all 2008s,Small SUV,7.6,1.7,3.3,15.6,,,,,7.0,11.5,2.6,,2.5,2.3,1.6,14.6,6.0,6.0,4,6.6,15.9,7,22.9,3.4,,3.4,,,,,,,,,,,,,,
"Peugeot 2008 Allure 1.2 Puretech 130, LHD with optional safety pack",- 5 door SUV,2019,1216kg,- all 2008s with optional safety pack,Small SUV,7.6,1.7,4.0,15.6,,,,,7.0,11.5,2.6,,2.5,2.3,2.3,14.6,6.0,6.0,5,6.6,15.9,7,22.9,3.2,Safety Plus Pack,8.6,5.4,,,,,,,,,,,,,
"Porsche Taycan 4S Performance Battery, LHD",- 4 door saloon,2019,2162kg,- all Taycans,Executive Car,7.8,1.2,0.0,15.7,,,,,6.0,11.8,2.7,,2.5,2.3,2.1,13.1,6.0,6.0,5,7.5,15.2,8,23.2,3.8,,8.8,5.0,,,,,,,,,,,,,
"Renault Captur 1.0 TCe, LHD",- 5 door hatchback,2019,1243kg,- all Capturs,Small SUV,8,1.6,4.0,15.5,,,,,7.0,11.0,2.5,,3.0,2.0,2.2,16.7,2.1,6.0,5,7.7,15,8,23.0,5.6,,11.3,5.7,,,,,,,,,,,,,
"VW Sharan 1.4 'Comfortline', LHD",- 5 door MPV,2019,1709kg,- all Sharans,Large MPV,7.7,1.6,2.4,15.5,,,,,6.0,10.7,0.9,,2.5,3.3,1.6,16.0,4.4,6.0,4,6.9,14,7.7,21.7,,,2.4,2.4,,,,,,,,,,,,,
"Škoda Octavia Combi 1.5 TSI ""Ambition"", LHD",- 5 door estate,2019,1313kg,- all Octavias including PHEV,Large Family Car,7.3,1.6,4.0,15.1,,,,,8.0,12.0,1.3,,3.0,3.5,2.5,16.0,4.8,6.0,5,7.3,15.2,8,23.2,3.7,,8.7,5.0,,,,,,,,,,,,,
Subaru Forester 2.0i-L EyeSight,- 5 door SUV,2019,1678kg,- all Foresters,Small SUV,7.9,1.7,4.0,16.0,,,,,9.0,12.0,1.3,,3.0,3.3,2.7,18.1,6.0,6.0,5,7.6,16,8,24.0,5.4,,8.4,3.0,,,,,,,,,,,,,
"Tesla Model X Long Range, LHD",- 5 door SUV,2019,2460kg,- 5YJXCCE44LF226616,Large SUV,8,1.7,4.0,16.0,,,,,6.0,11.0,2.9,,3.0,4.0,2.4,17.4,0.1,6.0,5,7.8,14.9,8,22.9,5.6,,11.6,6.0,,,,,,,,,,,,,
"VW Sharan 1.4 'Comfortline', LHD",- 5 door MPV,2019,1709kg,- all Sharans,Large MPV,7.7,1.6,2.4,15.5,,,,,6.0,10.7,0.9,,2.5,3.3,1.6,16.0,4.4,6.0,4,6.9,14,7.7,21.7,,,2.4,2.4,,,,,,,,,,,,,
"Aiways U5, LHD",- 5 door SUV,2019,1750kg,- all U5s,Small Off-Road 4x4,7.9,1.4,3.4,7.5,,,,,7.0,12.0,0.3,,3.0,2.0,2,15.9,0.0,6.0,3,7.8,7.4,8,15.4,0.0,,0.0,0.0,,,,,,,,,,,,,
"Audi Q8 50 TDI quattro, LHD",- 5 door SUV,2019,2220kg,- all Q8s,Large SUV,6.7,1.7,4.0,15.6,,,,,7.0,12.0,1.3,,3.0,2.8,2.5,16.9,1.8,5.9,5,7.3,16,8,24.0,4.8,,9.9,5.0,,,,,,,,,,,,,
Ford Puma,- 5 door SUV,2019,1314kg,- all Pumas*,City and Supermini,7,1.6,3.9,16.0,,,,,7.0,12.0,2.7,,2.5,2.3,2.3,14.6,6.0,6.0,5,7.5,14.5,8,22.5,5.2,,10.6,5.3,,,,,,,,,,,,,
"MG HS 1.5 petrol, RHD",- 5 door SUV,2019,1489kg,- all HS variants,Small SUV,7.3,1.8,4.0,14.5,,,,,7.0,12.0,2.3,,2.5,2.5,2.6,15.9,1.1,5.5,5,7.6,14.3,6.7,21.0,4.7,,8.4,3.7,,,,,,,,,,,,,
"MG ZS EV, LHD",- 5 door SUV,2019,1491kg,- all ZS EV's,Small Family Car,7.4,1.7,4.0,14.4,,,,,7.0,12.0,2.3,,2.5,1.8,2.6,17.0,3.7,6.0,5,7,14.7,8,22.7,2.2,,4.3,2.1,,,,,,,,,,,,,
"Nissan Juke, DIG-T 117, N-Connecta, LHD",- 5 door hatchback,2019,1212kg,"- all Jukes, including hybrid",Small SUV,7.8,1.6,3.9,15.3,,,,,7.0,12.0,1.8,,3.0,2.3,2.6,15.1,6.0,6.0,5,7.4,15.1,8,23.1,5.9,,11.9,6.0,,,,,,,,,,,,,
"VW e-up! 'Move Up', LHD",- 5 door hatchback,2019,1164kg,- all VW up!s,City and Supermini,6.6,1.4,0.0,15.7,,,,,7.0,12.0,1.0,,3.0,3.3,0,15.0,1.4,6.0,3,7.1,15,7,22.0,,,0.0,,,,,,,,,,,,,,
"VW Golf, 1.5 petrol 'Comfortline', LHD",- 5 door hatchback,2019,1316kg,- all Golfs including 'Variant' wagon,Small Family Car,7.5,1.7,4.0,15.5,,,,,8.0,12.0,1.3,,3.0,3.5,2.5,17.0,6.0,6.0,5,7.6,16,8,24.0,3.4,,7.8,4.3,,,,,,,,,,,,,
"VW e-up! 'Move Up', LHD",- 5 door hatchback,2019,1164kg,- all Mii,City and Supermini,6.6,1.4,0.0,15.7,,,,,7.0,12.0,1.0,,3.0,3.3,0,15.0,1.4,6.0,3,7.1,15,7,22.0,,,0.0,,,,,,,,,,,,,,
"VW e-up! 'Move Up', LHD",- 5 door hatchback,2019,1164kg,- all CITIGOs,City and Supermini,6.6,1.4,0.0,15.7,,,,,7.0,12.0,1.0,,3.0,3.3,0,15.0,1.4,6.0,3,7.1,15,7,22.0,,,0.0,,,,,,,,,,,,,,
"Peugeot Rifter BlueHDi 100 Allure, LHD",- 5 door MPV,2018,1510kg,- all Rifters,Small MPV,7,1.7,3.4,15.6,,,,,7.0,9.0,2.3,,1.9,3.3,1.5,12.7,6.0,6.0,4,7.2,15.8,8,23.8,3.6,,3.6,,,,,,,,,,,,,,
Toyota Yaris Hybrid,- 5 door hatchback,2020,1175kg,- all Yaris variants,Small Family Car,,,,15.0,,,,,7.0,10.0,2.4,,,3.5,,18.7,5.2,6.0,5,,12.0,8,23.0,6.8,,12.4,5.7,4.0,15,2.0,3.0,4.8,,,,,,,,
"VW ID.3 'Pro', LHD",- 5 door hatchback,2020,1857kg,- all ID.3s,Small Family Car,,,,13.2,,,,,8.0,12.0,2.7,,,3.5,,14.3,6.0,6.0,5,,14.3,8,24.0,6.0,,12.5,6.5,3.7,16,2.0,3.0,5.0,,,,,,,,
"Honda Jazz, 1.5 Hybrid 'Elegance', LHD",- 5 door hatchback,2020,1246kg,- all Honda Jazz,Small Family Car,,,,14.9,,,,,7.0,11.8,2.5,,,3.5,,17.5,4.8,6.0,5,,13.2,7.8,22.4,7.0,,15.1,8.1,4.0,14.5,1.0,1.0,5.3,,,,,,,,
"Mazda MX-30, LHD",- 5 door estate,2020,1675kg,"- all MX-30s, including PHEV",Small Family Car,,,,16.0,,,,,7.0,11.8,2.5,,,3.0,,19.0,3.9,6.0,5,,14.9,8,24.0,3.7,,8.1,4.5,3.8,16,0.0,2.0,4.3,,,,,,,,
"BMW 118i, LHD",- 5 door hatchback,2019,1480kg,- all 2 Series Gran Coupes,Small Family Car,7.3,1.5,4.0,16.0,,,,,8.0,11.0,2.5,,2.5,1.8,2.7,17.3,2.9,5.6,5,7,16,8,24.0,5.5,,10.7,5.2,,,,,,,,,,,,,
"Hyundai i10 1.0 MPI GLS, LHD",- 5 door hatchback,2020,993kg,- all i10s,City and Supermini,,,,11.9,,,,,7.0,10.8,1.3,,,2.8,,13.8,5.2,6.0,3,,9.9,6,19.4,3.4,,3.4,,3.5,13.4,1.0,2.7,2.8,,,,,,,,
"Land Rover Defender 110 2.0 diesel SE, RHD",- 5 door SUV,2020,2408kg,"- all Defenders, including PHEV",Large Off-Road 4x4,,,,15.0,,,,,7.0,10.7,3.0,,,3.0,,17.4,1.1,6.0,5,,11.7,8,24.0,6.4,,13.9,7.4,3.8,16,2.0,2.0,4.7,,,,,,,,
"Audi A3 35 TFSI, LHD",- 5 door hatchback,2020,1500kg,- WAUZZZGYMA058053,Small Family Car,,,,16.0,,,,,7.0,12.0,1.3,,,2.5,,13.7,5.1,6.0,5,,12.5,8,20.7,5.6,,12.0,6.4,3.5,12.7,2.0,3.0,5.1,,,,,,,,
"SEAT Leon 1.5 petrol 'XCELLENCE', LHD",- 5 door hatchback,2020,1294kg,- VSSZZZKLZMR005539 including PHEV,Small Family Car,,,,15.5,,,,,8.0,12.0,1.3,,,3.5,,14.9,6.0,6.0,5,,13.9,8,23.4,5.4,,11.6,6.2,3.7,15.4,2.0,3.0,5.1,,,,,,,,
"Honda e, RHD",- 5 door hatchback,2020,1513kg,- all Honda e,Small Family Car,,,,12.7,,,,,7.0,12.0,2.5,,,2.5,,18.3,0.0,6.0,4,,11.3,6.2,21.6,4.8,,9.6,4.7,4.0,15.3,1.0,2.0,3.5,,,,,,,,
"Kia Sorento 1.6 T-GDI HEV GLS, LHD",- 5 door SUV,2020,1847kg,- applies to all Sorentos,Large Off-Road 4x4,,,,15.7,,,,,7.0,12.0,2.5,,,3.3,,14.5,0.8,5.9,5,,10.8,8,22.9,6.0,,13.0,7.0,3.7,14.9,1.0,2.8,5.5,,,,,,,,
"Isuzu D-MAX Crew Cab 1.9 diesel, LHD",- 4 door double cab,2020,2030kg,- D-MAX Crew Cab,Pickup Truck,,,,15.5,,,,,7.0,11.2,2.3,,,3.5,,17.8,5.0,6.0,5,,11.2,8,24.0,5.0,,8.8,3.9,3.5,16,2.0,3.0,4.6,,,,,,,,
"Polestar 2 Long Range Dual Motor, LHD",- Fastback 5 door,2021,2173kg,- all Polestar 2,Executive Car,,,,15.6,,,,,8.0,12.0,1.3,,,3.5,,19.9,4.1,6.0,5,,13.9,8,24.0,6.1,,13.5,7.5,4.0,16,2.0,2.7,6.0,,,,,,,,
"Renault Captur 1.0 TCe, LHD",- 5 door hatchback,2019,1243kg,- all Arkanas,Small SUV,8,1.6,4.0,15.5,,,,,7.0,11.0,2.5,,3.0,2.0,2.2,16.7,2.1,6.0,5,7.7,15,8,23.0,5.6,,11.3,5.7,,,,,,,,,,,,,
"Cupra Formentor 1.5 petrol, LHD",- 5 door SUV,2021,1362kg,- all Formentors,Small SUV,,,,16.0,,,,,8.0,12.0,1.3,,,3.5,,15.7,3.7,6.0,5,,13.9,8,23.6,5.4,,11.6,6.2,3.6,15.6,2.0,3.0,5.1,,,,,,,,
"Škoda ENYAQ iV 60 , LHD",- 5 door SUV,2021,1940kg,- all ENYAQ iV,Large SUV,,,,15.3,,,,,8.0,12.0,2.7,,,3.5,,16.8,4.1,6.0,5,,15.1,8,24.0,6.0,,11.5,5.5,3.7,16,2.0,2.0,5.1,,,,,,,,
"Volkswagen ID.4, rear drive, LHD",- 5 door SUV,2021,2029kg,- all VW ID.4s,Small SUV,,,,15.0,,,,,8.0,12.0,2.6,,,3.0,,18.1,5.9,6.0,5,,15.0,8,24.0,5.5,,11.4,5.9,3.7,16,2.0,3.0,5.0,,,,,,,,
"Dacia Sandero Stepway 1.0TCe, LHD",- 5 door hatchback,2021,1111kg,- all Logans,Small Family Car,,,,10.7,,,,,6.0,11.0,1.3,,,0,,14.1,2.3,5.8,2,,12.1,8,18.6,,,0.0,,3.6,10.6,0.5,0,4.5,,,,,,,,
"Dacia Sandero Stepway 1.0TCe, LHD",- 5 door hatchback,2021,1111kg,- all Sanderos and Sandero Stepways,City and Supermini,,,,10.7,,,,,6.0,11.0,1.3,,,0,,14.1,2.3,5.8,2,,12.1,8,18.6,,,0.0,,3.6,10.6,0.5,0,4.5,,,,,,,,
"BMW 420d, LHD",- 2 door cabriolet,2019,1530kg,- all 4 Series convertibles,Large Family Car,7.9,1.7,4.0,15.6,,,,,6.0,9.8,2.5,,2.5,1.8,2.7,22.3,6.0,6.0,5,7.6,15.8,8,23.8,5.3,,10.5,5.1,,,,,,,,,,,,,
"BMW 420d, LHD",- 2 door coupe,2019,1530kg,- all 4 Series coupes,Large Family Car,7.9,1.6,4.0,16.0,,,,,6.0,11.3,2.5,,2.5,1.8,2.7,22.3,6.0,6.0,5,7.6,15.8,8,23.8,5.3,,10.5,5.1,,,,,,,,,,,,,
"Genesis G80 2.2CRDi GLS, LHD",- 4 door saloon,2021,1910kg,- all G80s,Executive Car,,,,15.9,,,,,7.0,12.0,3.0,,,3.3,,22.0,0.1,6.0,5,,13.8,8,24.0,6.0,,13.8,7.8,3.1,16,2.0,2.7,5.8,,,,,,,,
"Genesis GV80 3.0CRDi GLS, LHD",- 5 door SUV,2021,2070kg,- all GV80s,Large SUV,,,,16.0,,,,,7.0,12.0,2.8,,,3.3,,15.6,1.3,6.0,5,,13.6,8,24.0,6.0,,13.1,7.1,3.4,16,2.0,2.8,5.4,,,,,,,,
"Citroën C4 1.2 petrol 'Feel Pack', LHD",- 5 door hatchback,2021,1305kg,- all C4 and C4X,Small Family Car,,,,12.1,,,,,7.0,12.0,2.6,,,3.3,,15.3,6.0,6.0,4,,13.7,8,21.9,3.6,,3.6,,3.6,13.9,1.0,2.0,2.4,,,,,,,,
"SEAT Leon 1.5 petrol 'XCELLENCE', LHD",- 5 door hatchback,2020,1294kg,- all Leons,Small Family Car,,,,15.5,,,,,8.0,12.0,1.3,,,3.5,,14.9,6.0,6.0,5,,13.9,8,23.4,5.4,,11.6,6.2,3.6,15.4,2.0,3.0,5.1,,,,,,,,
"Opel/Vauxhall Mokka, 1.2 petrol 'Elegance', LHD",- 5 door SUV,2021,1217kg,"- ALL Mokkas, including Mokka-e",Small SUV,,,,11.5,,,,,7.0,11.3,2.5,,,3.3,,15.3,6.0,6.0,4,,12.7,8,18.7,4.6,,4.6,,3.7,10.7,0.0,2.0,2.6,,,,,,,,
"Mercedes-Benz B 180  - Progressive Line, LHD",- 5 door SUV,2019,1635kg,- all GLAs,Small SUV,7.7,1.6,4.0,15.9,,,,,9.0,12.0,2.9,,2.5,2.0,2.4,20.3,0.0,6.0,5,7.5,15.5,8,23.5,5.6,,11.6,6.0,,,,,,,,,,,,,
